,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,9.22,few clouds
80,Alofi,NU,-19.0595,-169.9187,80.49,89,97,4.61,overcast clouds
81,Marsabit,KE,2.3284,37.9899,67.73,78,9,14.14,clear sky
82,Ulladulla,AU,-35.35,150.4667,67.77,47,83,7.63,broken clouds
83,Ust-Nera,RU,64.5667,143.2,31.96,85,99,3.51,overcast clouds
84,Bluff,NZ,-46.6,168.3333,62.8,76,98,9.98,overcast clouds
85,Tubalan,PH,6.495,125.5661,83.91,70,100,4.0,light rain
86,Cavalcante,BR,-13.7975,-47.4583,66.15,60,2,3.24,clear sky
87,Puerto Ayora,EC,-0.7393,-90.3518,71.22,93,61,5.39,broken clouds
88,Eyl,SO,7.9803,49.8164,85.73,67,54,5.66,broken clouds
89,Port Blair,IN,11.6667,92.75,91.44,58,40,4.61,haze
90,Kieta,PG,-6.2167,155.6333,83.57,76,25,3.6,light rain
91,Tramandai,BR,-29.9847,-50.1336,58.78,71,1,3.62,clear sky
92,Georgetown,MY,5.4112,100.3354,89.53,71,40,11.5,scattered clouds
93,East London,ZA,-33.0153,27.9116,61.74,63,0,13.8,clear sky
94,Lebu,CL,-37.6167,-73.65,48.07,81,0,14.25,clear sky
95,Torbay,CA,47.6666,-52.7314,38.57,96,100,3.44,fog
96,San Juan Bautista,PE,-14.0108,-75.7358,71.31,66,41,1.41,scattered clouds
97,Northam,GB,51.0333,-4.2167,41.61,79,100,6.85,overcast clouds
98,Thompson,CA,55.7435,-97.8558,37.56,70,75,3.44,broken clouds
99,Japura,ID,-0.3167,102.35,92.91,52,100,1.43,overcast clouds
100,Beringovskiy,RU,63.05,179.3167,31.93,96,99,15.55,light snow
101,El Alto,PE,-4.2714,-81.2147,68.85,75,36,16.42,scattered clouds
102,Fort Nelson,CA,58.8053,-122.7002,35.19,69,0,2.3,clear sky
103,Broome,US,42.2506,-75.833,35.65,69,0,3.0,clear sky
104,Grand Gaube,MU,-20.0064,57.6608,81.0,63,5,7.0,clear sky
105,Mecca,SA,21.4267,39.8261,89.13,31,0,1.92,clear sky
106,Chokurdakh,RU,70.6333,147.9167,22.82,89,16,9.42,few clouds
107,Clyde River,CA,70.4692,-68.5914,-0.17,78,75,9.22,broken clouds
108,Atambua,ID,-9.1061,124.8925,84.87,58,98,2.26,overcast clouds
109,Chapais,CA,49.7834,-74.8492,28.18,95,8,5.26,clear sky
110,Kloulklubed,PW,7.0419,134.2556,81.1,73,19,10.71,few clouds
111,Victoria,HK,22.2855,114.1577,82.96,84,100,18.01,overcast clouds
112,Auki,SB,-8.7676,160.7034,82.08,77,95,2.08,overcast clouds
113,Millinocket,US,45.6573,-68.7098,35.71,80,100,8.05,overcast clouds
114,Yuancheng,CN,36.652,107.7896,53.11,13,100,18.16,overcast clouds
115,Laguna,US,38.421,-121.4238,64.69,58,0,5.75,clear sky
116,Kununurra,AU,-15.7667,128.7333,96.78,38,45,8.05,scattered clouds
117,Nanortalik,GL,60.1432,-45.2371,37.35,87,67,5.37,broken clouds
118,Cape Town,ZA,-33.9258,18.4232,56.12,94,20,5.75,few clouds
119,Peniche,PT,39.3558,-9.3811,56.44,94,4,8.21,clear sky
120,Tecoanapa,MX,16.5167,-98.75,79.84,71,8,6.29,clear sky
121,Sioux Lookout,CA,50.1001,-91.917,37.47,87,100,6.91,overcast clouds
122,New Richmond,US,45.123,-92.5366,53.04,62,100,18.41,overcast clouds
123,Buala,SB,-8.145,159.5921,82.65,76,100,3.58,moderate rain
124,Nyimba,ZM,-14.5566,30.8149,61.65,81,4,2.26,clear sky
125,Ambilobe,MG,-13.2,49.05,76.82,82,96,3.65,overcast clouds
126,Russell,US,32.3502,-85.1999,70.88,88,75,0.0,broken clouds
127,Dubuque,US,42.4833,-90.8668,57.02,64,100,24.16,overcast clouds
128,Cabo San Lucas,MX,22.8909,-109.9124,76.3,61,17,13.71,few clouds
129,Ixtapa,MX,20.7,-105.2,74.23,65,0,3.44,clear sky
130,Faanui,PF,-16.4833,-151.75,81.37,72,11,17.2,few clouds
131,Khatanga,RU,71.9667,102.5,16.25,87,99,16.96,overcast clouds
132,Oranjestad,AW,12.524,-70.027,80.55,89,75,17.27,broken clouds
133,Kahului,US,20.8947,-156.47,75.85,73,40,18.41,scattered clouds
134,Nara,JP,34.6851,135.8049,69.69,36,4,4.74,clear sky
135,Maine-Soroa,NE,13.2114,12.0241,84.47,37,66,8.77,broken clouds
136,Cherskiy,RU,68.75,161.3,14.58,86,92,6.04,overcast clouds
137,Cape Canaveral,US,28.4058,-80.6048,75.02,73,20,16.11,few clouds
138,Barkhan,PK,29.8977,69.5256,93.56,10,0,14.56,clear sky
139,Takoradi,GH,4.8845,-1.7554,79.23,86,89,5.88,overcast clouds
140,Baglung,NP,28.2719,83.5898,87.39,25,7,7.56,clear sky
141,Lompoc,US,34.6391,-120.4579,60.64,86,0,11.5,clear sky
142,Gizo,SB,-8.103,156.8419,84.54,68,47,5.48,scattered clouds
143,Arraial Do Cabo,BR,-22.9661,-42.0278,74.95,87,3,11.36,clear sky
144,Paramonga,PE,-10.6667,-77.8333,67.32,86,92,5.79,overcast clouds
145,Pocone,BR,-16.2567,-56.6228,71.76,53,5,3.31,clear sky
146,Grindavik,IS,63.8424,-22.4338,43.27,87,75,5.75,broken clouds
147,Poum,NC,-20.2333,164.0167,76.84,73,52,11.5,broken clouds
148,Marsa Matruh,EG,31.3525,27.2453,62.8,88,0,6.91,clear sky
149,Maniitsoq,GL,65.4167,-52.9,8.29,75,37,9.55,scattered clouds
150,Mosetse,BW,-20.75,26.65,58.8,47,0,4.18,clear sky
151,Fuzhou,CN,26.0614,119.3061,64.29,87,100,3.27,overcast clouds
152,La Ronge,CA,55.1001,-105.2842,39.45,65,40,2.3,scattered clouds
153,Kruisfontein,ZA,-34.0033,24.7314,57.88,85,36,12.64,scattered clouds
154,Novyy Urengoy,RU,66.0833,76.6333,23.43,85,28,13.0,scattered clouds
155,Acapulco,MX,16.8634,-99.8901,78.62,89,20,5.75,few clouds
156,Dunkirk,FR,51.05,2.3667,48.09,85,17,1.01,few clouds
157,Whitehorse,CA,60.7161,-135.0538,37.02,87,75,4.61,broken clouds
