City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Ragay,PH,87.39,overcast clouds,13.8183,122.7923,Rica Richwhite lodge / food and bar
203,Palauig,PH,86.83,overcast clouds,15.435,119.9045,Alperi Botique Resort
209,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
212,Lorengau,PG,82.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
213,Galle,LK,86.79,overcast clouds,6.0367,80.217,Amangalla
216,Ugoofaaru,MV,86.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
218,Tura,IN,87.21,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
232,Umm Lajj,SA,86.61,clear sky,25.0213,37.2685,Moon light Furnished Units
233,Lamu,KE,82.62,light rain,-2.2717,40.902,Lamu House
235,Ternate,ID,83.1,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
236,Novo Aripuana,BR,72.66,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
238,Cockburn Town,TC,76.82,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
242,Pringsewu,ID,89.53,overcast clouds,-5.3582,104.9744,Urban Style by Front One
245,Kurchum,KZ,71.98,broken clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
248,Coffs Harbour,AU,78.76,overcast clouds,-30.3,153.1333,Aquajet Motel
255,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
261,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
263,Belmonte,BR,74.07,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
266,Mitsamiouli,KM,80.62,light rain,-11.3847,43.2844,Foyer ADM
270,Carauari,BR,71.78,overcast clouds,-4.8828,-66.8958,Hotel Fellip
271,Alamos,MX,70.45,clear sky,27.0167,-108.9333,Luz del Sol
279,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
281,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
282,Ilhabela,BR,72.68,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
286,Tucurui,BR,72.72,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
295,Benguela,AO,75.63,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
299,Zaysan,KZ,70.68,scattered clouds,47.4667,84.8667,Ерлан үй
300,Dickinson,US,75.97,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
304,Beyneu,KZ,77.45,overcast clouds,45.3167,55.2,NUR
307,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
312,Tautira,PF,80.38,light rain,-17.7333,-149.15,Pension Oaoa
313,Lazaro Cardenas,MX,75.15,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
319,Honiara,SB,82.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
324,Dong Hoi,VN,77.94,overcast clouds,17.4833,106.6,Nam Long Hotel
330,Champerico,GT,81.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
331,Bambanglipuro,ID,86.2,scattered clouds,-7.95,110.2833,Puri Brata
332,Kavieng,PG,83.88,light rain,-2.5744,150.7967,Nusa Island Retreat
337,Gold Coast,AU,79.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
340,Ciudad Bolivar,VE,80.19,broken clouds,8.1222,-63.5497,Hotel Edi
341,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
